run_id,timestamp,log_path,status,reason,model,rubric_version,dataset,n_samples,temperature
77DnUmpmvvR2DvgqpiiUVc,2026-04-06T22:51:06,logs/test-pipeline/2026-04-06T22-51-06-00-00_biomarker-grading_77DnUmpmvvR2DvgqpiiUVc.eval,complete,pipeline smoke test — discard,google/gemini-2.5-flash-lite,cf755b6,pilot_sample_12IC_tiered_seed42.csv,5,0.0
F6q3hinVzvzWqqjLCnoL28,2026-04-07T20:07:27,logs/test-nci-filter/2026-04-07T20-07-27-00-00_biomarker-grading_F6q3hinVzvzWqqjLCnoL28.eval,complete,3-sample filter test,google/gemini-2.5-flash-lite,c4b99b3,nci_sample_v31_seed42.csv,3,0.0
eUp5oWXd9G3cRfUDdvAW8w,2026-04-07T20:14:10,logs/test-nci-verify/2026-04-07T20-14-10-00-00_biomarker-grading_eUp5oWXd9G3cRfUDdvAW8w.eval,complete,5-sample verify test,google/gemini-2.5-flash-lite,c4b99b3,nci_sample_v31_seed42.csv,5,0.0
nVdi8APp4pyxLK3rWzHY8j,2026-04-07T20:14:34,logs/nci-v31-gemini-flash-lite/2026-04-07T20-14-34-00-00_biomarker-grading_nVdi8APp4pyxLK3rWzHY8j.eval,error,all samples INVALID_ARGUMENT — batch mode incompatible with Gemini API request format,google/gemini-2.5-flash-lite,c4b99b3,nci_sample_v31_seed42.csv,0,0.0
ADG62NKmaKunQR2qCHK5rf,2026-04-07T20:14:35,logs/nci-v31-gpt-oss-120b/2026-04-07T20-14-35-00-00_biomarker-grading_ADG62NKmaKunQR2qCHK5rf.eval,partial,run killed at session end — 421/4210 completed without batch flag,together/openai/gpt-oss-120b,c4b99b3,nci_sample_v31_seed42.csv,421,0.0
7vfLsdLSTqBHrEq6HcY8g4,2026-04-08T19:33:59,logs/test-batch-together/2026-04-08T19-33-59-00-00_biomarker-grading_7vfLsdLSTqBHrEq6HcY8g4.eval,error,Together batch API missing dependency — pip install together,together/openai/gpt-oss-120b,c4b99b3,nci_sample_v31_seed42.csv,0,0.0
3GsA5wAQoa2zUi59KsBQxU,2026-04-08T19:35:02,logs/test-batch-together/2026-04-08T19-35-02-00-00_biomarker-grading_3GsA5wAQoa2zUi59KsBQxU.eval,error,Together batch API rejects OpenAI-format JSONL — Inspect batch incompatible with Together endpoint,together/openai/gpt-oss-120b,c4b99b3,nci_sample_v31_seed42.csv,0,0.0
5WdUxoX3FxEQRMWcCWs4rA,2026-04-12T15:00:29,logs/test-nci-trial/2026-04-12T15-00-29-00-00_biomarker-grading_5WdUxoX3FxEQRMWcCWs4rA.eval,complete,25-sample trial run — API success check,google/gemini-2.5-flash-lite,ebe59f0,nci_sample_v31_seed42.csv,25,0.0
JTXC7WbxJkhaTnUBw4nZSY,2026-04-12T15:01:37,logs/test-nci-batch-gemini/2026-04-12T15-01-37-00-00_biomarker-grading_JTXC7WbxJkhaTnUBw4nZSY.eval,error,Gemini batch API rejects Inspect JSONL — INVALID_ARGUMENT 400 array format incompatibility (confirmed same as Apr 7),google/gemini-2.5-flash-lite,ebe59f0,nci_sample_v31_seed42.csv,0,0.0
6kjvcWadNij4He8VLW7NKy,2026-04-12T15:01:52,logs/test-nci-trial-gpt/2026-04-12T15-01-52-00-00_biomarker-grading_6kjvcWadNij4He8VLW7NKy.eval,complete,25-sample trial run without --batch — verified API success and scorer quality,together/openai/gpt-oss-120b,ebe59f0,nci_sample_v31_seed42.csv,25,0.0
DyKRu7vHtg4Y4DJvTCLRLV,2026-04-12T15:02:02,logs/test-nci-batch-gpt/2026-04-12T15-02-02-00-00_biomarker-grading_DyKRu7vHtg4Y4DJvTCLRLV.eval,error,Together batch API rejects OpenAI-format JSONL — FileTypeError fundamental incompatibility (confirmed),together/openai/gpt-oss-120b,ebe59f0,nci_sample_v31_seed42.csv,0,0.0
8erjM2hN9MQ5kE5LQvnP7L,2026-04-12T15:06:44,logs/nci-v31-gemini-flash-lite/2026-04-12T15-06-44-00-00_biomarker-grading_8erjM2hN9MQ5kE5LQvnP7L.eval,complete,full NCI v3.1 run no --batch — 3770/3770 completed 0 errors,google/gemini-2.5-flash-lite,f6ecad8,nci_sample_v31_seed42.csv,3770,0.0
YjUaR5DwUeHvnPUHm7gWFj,2026-04-12T15:07:31,logs/nci-v31-gpt-oss-120b/2026-04-12T15-07-31-00-00_biomarker-grading_YjUaR5DwUeHvnPUHm7gWFj.eval,partial,run interrupted at session end — 1508/3770 completed,together/openai/gpt-oss-120b,f6ecad8,nci_sample_v31_seed42.csv,1508,0.0
2erYYKhz22UPHDZJteNK3h,2026-04-12T15:48:53,logs/nci-v31-gpt-oss-120b/2026-04-12T15-48-53-00-00_biomarker-grading_2erYYKhz22UPHDZJteNK3h.eval,error,killed — duplicate process from failed nohup attempt,together/openai/gpt-oss-120b,60d21e7,nci_sample_v31_seed42.csv,0,0.0
hbNMjdEnGVXJ5YWcsKHfcQ,2026-04-12T15:48:59,logs/nci-v31-gpt-oss-120b/2026-04-12T15-48-59-00-00_biomarker-grading_hbNMjdEnGVXJ5YWcsKHfcQ.eval,complete,full NCI v3.1 run no --batch — 3770/3770 completed 0 errors,together/openai/gpt-oss-120b,60d21e7,nci_sample_v31_seed42.csv,3770,0.0
